No,Brand,Category,Theme_Description,Keywords,Primary_Color,Secondary_Color,Accent_Color,Background_Color,Text_Color,Heading_Font,Body_Font,Typography_Mood,Button_Style,Card_Style,Shadow_Style,Border_Radius_Style,Spacing_Base,Dos,Donts,Key_Characteristics,Design_MD_Path
11,Composio,Infrastructure & Cloud,"Composio's interface is a nocturnal command center — a dense, developer-focused darkness punctuated by electric cyan and deep cobalt signals. The entire experience is built on an almost-pure-black canvas (`#0f0f0f`) where content floats within barely-visible containment borders, creating the feel...","composio, infrastructure & cloud, dark, light, geometric, technical, developer, ai, monochrome, blue, red, black, white, serif, sans-serif, monospace",#0007cd,#00ffff,#000000,#0f0f0f,#ffffff,abcDiatype,abcDiatype,"tight, geometric, technical, functional, bold, monospace, compact",Background: Pure White (`#ffffff`); Text: Near Black (`oklch(0.145 0 0)`); Padding: comfortable (8px 24px); Border: none; Radius: subtly rounded (likely 4px based on token scale),"Background: Pure Black (`#000000`) or transparent; Border: white at very low opacity, ranging from Border Mist 04 (`rgba(255,255,255,0.04)`) to Border Mist 12 (`rgba(255,255,255,0.12)`) depending on prominence; Radius: barely rounded corners (2px ...",,,8px,"Use Void Black (`#0f0f0f`) as the primary page background — never pure white for main surfaces; Keep heading line-heights ultra-tight (0.87-1.0) for compressed, authoritative text blocks; Use white-opacity borders (4-12%) for containment — they're more important than shadows here; Reserve Electric Cyan (`#00ffff`) for high-signal moments only — CTAs, glows, interactive accents; Pair abcDiatype with JetBrains Mono to reinforce the developer-tool identity; Use the hard-offset shadow (`4px 4px`) in","Don't use bright backgrounds or light surfaces as primary containers; Don't apply heavy shadows everywhere — depth comes from border opacity, not box-shadow; Don't use Composio Cobalt (`#0007cd`) as a text color — it's too dark on dark and too saturated on light; Don't increase heading line-heights beyond 1.2 — the compressed feel is core to the identity; Don't use bold (700) weight for body or heading text — 400-500 is the ceiling; Don't mix warm colors — the palette is strictly cool (blue, cya","Pitch-black canvas with near-invisible white-border containment (4-12% opacity); Dual-font identity: geometric sans-serif (abcDiatype) for content, monospace (JetBrains Mono) for technical credibility; Ultra-tight heading line-heights (0.87-1.0) creating compressed, impactful text blocks; Bioluminescent accent strategy — cyan and blue glows that feel like they're emitting light from within; Hard-offset brutalist shadows (`4px 4px`) on select interactive elements; Monochrome hierarchy with col...",design-md/composio/DESIGN.md
12,Cursor,Developer Tools,"Cursor's website is a study in warm minimalism meets code-editor elegance. The entire experience is built on a warm off-white canvas (`#f2f1ed`) with dark warm-brown text (`#26251e`) -- not pure black, not neutral gray, but a deeply warm near-black with a yellowish undertone that evokes old paper...","cursor, developer tools, dark, light, minimal, minimalism, warm, technical, neutral, orange, yellow, black, white, serif",#26251e,#e6e5e0,#f54e00,#f7f7f4,#000000,CursorGothic,jjannon,"precision, serif, editorial, technical, functional",Background: `#ebeae5` (Surface 300); Text: `#26251e` (Cursor Dark); Padding: 10px 12px 10px 14px; Radius: 8px; Hover: text shifts to `var(--color-error)` (`#cf2d56`),"Background: `#e6e5e0` or `#f2f1ed`; Border: `1px solid oklab(0.263 / 0.1)` (warm brown at 10%); Radius: 8px (standard), 4px (compact), 10px (featured); Shadow: `rgba(0,0,0,0.14) 0px 28px 70px, rgba(0,0,0,0.1) 0px 14px 32px` for elevated cards; Hov...","| Ambient (Level 2) | `rgba(0,0,0,0.02) 0px 0px 16px, rgba(0,0,0,0.008) 0px 0px 8px` | Floating elements, subtle glow |",,8px,,,"CursorGothic with aggressive negative letter-spacing (-2.16px at 72px, -0.72px at 36px) for compressed display headings; jjannon serif for body text with OpenType `""cswh""` (contextual swash alternates); berkeleyMono for code and technical labels; Warm off-white background (`#f2f1ed`) instead of pure white -- the entire system is warm-shifted; Primary text color `#26251e` (warm near-black with yellow undertone); Accent orange `#f54e00` for brand highlight and links; oklab-space borders at vari...",design-md/cursor/DESIGN.md
13,ElevenLabs,AI & Machine Learning,"ElevenLabs' website is a study in restrained elegance — a near-white canvas (`#ffffff`, `#f5f5f5`) where typography and subtle shadows do all the heavy lifting. The design feels like a premium audio product brochure: clean, spacious, and confident enough to let the content speak (literally, given...","elevenlabs, ai & machine learning, dark, light, premium, warm, clean, bold, ai, pill, red, white",#ffffff,#4e4e4e,#f5f2ef,#f5f5f5,#000000,Waldenburg,Inter,"light, bold, tight, monospace",Background: `#000000`; Text: `#ffffff`; Padding: 0px 14px; Radius: 9999px (full pill); Background: `#ffffff`,Background: `#ffffff`; Border: `1px solid #e5e5e5` or shadow-as-border; Radius: 16px–24px; Shadow: multi-layer stack (inset + outline + elevation),"| Inset Edge (Level 0.5) | `rgba(0,0,0,0.075) 0px 0px 0px 0.5px inset, #fff 0px 0px 0px 0px inset` | Internal border definition |",,8px,"Use Waldenburg weight 300 for all display headings — the lightness IS the brand; Apply multi-layer shadows (inset + outline + elevation) at sub-0.1 opacity; Use warm stone tints (`#f5f2ef`, `rgba(245,242,239,0.8)`) for featured elements; Apply positive letter-spacing (+0.14px to +0.18px) on Inter body text; Use 9999px radius for primary buttons — pill shape is standard; Use warm-tinted shadows (`rgba(78,50,23,0.04)`) on featured CTAs; Keep the page predominantly white with subtle gray section di",Don't use bold (700) Waldenburg for headings — weight 300 is non-negotiable; Don't use heavy shadows (>0.1 opacity) — the ethereal quality requires whisper-level depth; Don't use cool gray borders — the system is warm-tinted throughout; Don't skip the inset shadow component — half-pixel inset borders define edges; Don't apply negative letter-spacing to body text — Inter uses positive tracking; Don't use sharp corners (<8px) on cards — the generous radius is structural; Don't introduce brand colo,"Near-white canvas with warm undertones (`#f5f5f5`, `#f5f2ef`); Waldenburg weight 300 (light) for display — ethereal, whisper-thin headings; Inter with positive letter-spacing (0.14–0.18px) for body — airy readability; Multi-layered shadow stacks at sub-0.1 opacity — surfaces barely exist; Pill buttons (9999px) with warm stone-tinted backgrounds; WaldenburgFH bold uppercase for specific CTA labels; Warm shadow tints: `rgba(78, 50, 23, 0.04)` — shadows have color, not just darkness; Geist Mono ...",design-md/elevenlabs/DESIGN.md
14,Expo,Developer Tools,"Expo's interface is a luminous, confidence-radiating developer platform built on the premise that tools for building apps should feel as polished as the apps themselves. The entire experience lives on a bright, airy canvas — a cool-tinted off-white (`#f0f0f3`) that gives the page a subtle technol...","expo, developer tools, cool, soft, developer, ai, pill, blue, black, white",#000000,#0d74ce,#476cff,#f0f0f3,#60646c,Inter,Nearly all body and UI text shares 1.40 line-height,"sans, serif, light","Background: Pure White (`#ffffff`); Text: Near Black (`#1c2024`); Padding: 0px 12px (compact, content-driven height); Border: thin solid Input Border (`1px solid #d9d9e0`); Radius: subtly rounded (6px)",Background: Pure White (`#ffffff`) — clearly lifted from Cloud Gray page; Border: thin solid Border Lavender (`1px solid #e0e1e6`) for standard cards; Radius: comfortably rounded (8px) for standard cards; generously rounded (16–24px) for featured ...,"| Whisper (Level 2) | `rgba(0,0,0,0.08) 0px 3px 6px` + `rgba(0,0,0,0.07) 0px 2px 4px` | Subtle card lift, hover states |",,8px,Use Cloud Gray (`#f0f0f3`) as the page background and Pure White (`#ffffff`) for elevated cards — the two-tone light system is essential; Keep display headlines at extreme negative letter-spacing (-1.6px to -3px at 64px) for the signature compressed look; Use pill-shaped (9999px) radius for primary CTA buttons — the organic shape is core to the identity; Reserve black (`#000000`) for headlines and primary CTAs — it carries maximum authority on the light canvas; Use Slate Gray (`#60646c`) for sec,Don't introduce decorative colors into the interface chrome — the monochromatic palette is intentional; Don't use sharp corners (border-radius < 6px) on interactive elements — the pill/rounded geometry is the signature; Don't reduce section spacing below 64px — the breathing room is the design; Don't use heavy drop shadows — depth comes from background contrast and whisper-soft shadows; Don't mix in additional typefaces — Inter handles everything from display to caption; Don't use letter-spacing,"Luminous cool-white canvas (`#f0f0f3`) with gallery-like vertical spacing; Strictly monochromatic: pure black headlines, cool blue-gray body text, no decorative color; Pill-shaped geometry everywhere — buttons, tabs, containers, images (24px–9999px radius); Massive display headlines (64px) with extreme negative letter-spacing (-1.6px to -3px); Inter as the sole typeface, used at weights 400–900 for full expressive range; Whisper-soft shadows that barely lift elements from the surface; Product...",design-md/expo/DESIGN.md
15,Ferrari,Automotive,"Ferrari's website is a digital editorial — a curated magazine where the Prancing Horse brand is presented with the gravitas of an art institution and the precision of Italian coachwork. The page opens onto an expanse of absolute black, broken only by the iconic Prancing Horse emblem floating alon...","ferrari, automotive, editorial, clean, ai, red, black, white",#DA291C,#B01E0A,#9D2211,#000000,#181818,FerrariSans,Secondary typeface for captions,"compact, precision, editorial, technical, tight","Ferrari's buttons are minimal white rectangles with near-zero radius — the CTA philosophy is ""architecture, not decoration.""; Default: bg `#FFFFFF`, text `#000000`, fontSize 16px (FerrariSans), letterSpacing 1.28px, padding 12px 10px, borderRadius...","Background: white; Border: none; Shadow: none; Background: `#000000` (Absolute Black); No border, no shadow — the darkness IS the container","Ferrari's approach to elevation is nearly as flat as Tesla's, but with a different rationale. Where Tesla avoids shadows for minimalism, Ferrari avoids them because the editorial photography provides ",,,"Use Ferrari Red (`#DA291C`) sparingly — only for primary CTAs and brand-critical moments. Its power comes from restraint; Alternate between black cinematic sections and white editorial sections to create the signature chiaroscuro rhythm; Use FerrariSans at weight 500 as the default heading voice — it's the typographic equivalent of the engine note; Apply Body-Font in uppercase with 1px letter-spacing for all labels, category tags, and structural annotations; Keep border-radius at 2px for all int","Scatter Ferrari Red across the interface as decoration — it's a CTA signal, not a theme color; Use rounded-pill buttons or large border-radii — the 2px precision is non-negotiable; Add box-shadows to cards or content containers — depth comes from surface color contrast and photography; Mix FerrariSans and Body-Font within the same text block — they serve separate hierarchical functions; Use colorful backgrounds (blue, green, etc.) for sections — the palette is exclusively black/white/gray with r","Chiaroscuro layout alternating between deep black sections and clean white editorial panels; Ferrari Red (`#DA291C`) used with extreme sparseness — accent, not atmosphere; Prancing Horse emblem as isolated hero element on a void-black field; FerrariSans proprietary typeface with compact proportions and medium weights; Photo-journalism imagery: concept renders, driver portraits, lineup parades — each section is a story; Uppercase Body-Font labels with wide letter-spacing (1px) for editorial an...",design-md/ferrari/DESIGN.md
16,Figma,Design & Productivity,"Figma's interface is the design tool that designed itself — a masterclass in typographic sophistication where a custom variable font (figmaSans) modulates between razor-thin (weight 320) and bold (weight 700) with stops at unusual intermediates (330, 340, 450, 480, 540) that most type systems nev...","figma, design & productivity, bold, technical, design tool, gradient, pill, vibrant, purple, green, yellow, pink, black, white, variable font",#000000,,,#ffffff,,figmaSans,figmaSans,"precision, light, tight, technical",Background: Pure Black (`#000000`); Text: Pure White (`#ffffff`); Radius: circle (50%) for icon buttons; Background: Pure White (`#ffffff`); Text: Pure Black (`#000000`),"Background: Pure White; Border: none or minimal; Radius: 6px (small containers), 8px (images, cards, dialogs); Shadow: subtle to medium elevation effects",,,8px,"Use figmaSans with precise variable weights (320–540) — the granular weight control IS the design; Keep the interface strictly black-and-white — color comes from product content only; Use pill (50px) and circular (50%) geometry for all interactive elements; Apply dashed 2px focus outlines — the signature accessibility pattern; Enable `""kern""` feature on all text; Use figmaMono in uppercase with positive letter-spacing for labels; Apply negative letter-spacing throughout (-0.1px to -1.72px)","Don't add interface colors — the monochrome palette is absolute; Don't use standard font weights (400, 500, 600, 700) — use the variable font's unique stops (320, 330, 340, 450, 480, 540); Don't use sharp corners on buttons — pill and circular geometry only; Don't use solid focus outlines — dashed is the signature; Don't increase body font weight above 450 — the light-weight aesthetic is core; Don't use positive letter-spacing on body text — it's always negative","Custom variable font (figmaSans) with unusual weight stops: 320, 330, 340, 450, 480, 540, 700; Strictly black-and-white interface chrome — color exists only in product content; figmaMono for uppercase technical labels with wide letter-spacing; Pill (50px) and circular (50%) button geometry; Dashed focus outlines echoing Figma's editor selection handles; Vibrant multi-color hero gradients (green, yellow, purple, pink); OpenType `""kern""` feature enabled globally; Negative letter-spacing through...",design-md/figma/DESIGN.md
17,Framer,Design & Productivity,"Framer's website is a cinematic, tool-obsessed dark canvas that radiates the confidence of a design tool built by designers who worship craft. The entire experience is drenched in pure black — not a warm charcoal or a cozy dark gray, but an absolute void (`#000000`) that makes every element, ever...","framer, design & productivity, dark, cinematic, warm, cold, sharp, design tool, pill, sharp corners, blue, black",#000000,#090909,#0099ff,#ffffff,#a6a6a6,GT Walsheim Framer Medium,Inter Variable,"bold, confident, tight","**Frosted Pill**: `rgba(255, 255, 255, 0.1)` background, black text (`#000000`), pill shape (40px radius). The glass-effect button that lives on dark surfaces — translucent, ambient, subtle; **Solid White Pill**: `rgb(255, 255, 255)` background, b...","**Dark Surface Card**: Black or near-black (`#090909`) background, `rgba(0, 153, 255, 0.15) 0px 0px 0px 1px` blue ring shadow border, rounded corners (10px–15px radius); **Elevated Card**: Multi-layer shadow — `rgba(255, 255, 255, 0.1) 0px 0.5px 0...","| Level 1 (Ring) | `rgba(0, 153, 255, 0.15) 0px 0px 0px 1px` | Card borders, interactive element outlines — Framer Blue glow ring |",,,"Use pure black (`#000000`) as the primary background — not dark gray, not charcoal; Apply extreme negative letter-spacing on GT Walsheim display text (-3px to -5.5px); Keep all buttons pill-shaped (40px+ radius) — never use squared or slightly-rounded buttons; Use Framer Blue (`#0099ff`) exclusively for interactive accents — links, borders, focus states; Deploy `rgba(255, 255, 255, 0.1)` for frosted glass surfaces on dark backgrounds; Maintain GT Walsheim at weight 500 only — the medium weight I","Use warm dark backgrounds (no `#1a1a1a`, `#2d2d2d`, or brownish blacks); Apply bold (700+) weight to GT Walsheim display text — medium 500 only; Introduce additional accent colors beyond Framer Blue — this is a one-accent-color system; Use large border-radius on non-interactive elements (cards use 10px–15px, only buttons get 40px+); Add decorative imagery, illustrations, or icons — the product IS the illustration; Use positive letter-spacing on headlines — everything is compressed, negative trac","Pure black (`#000000`) void canvas — absolute dark, not warm or gray-tinted; GT Walsheim display font with extreme negative letter-spacing (-5.5px at 110px); Framer Blue (`#0099ff`) as the sole accent color — cold, electric, precise; Pill-shaped buttons (40px–100px radius) — no sharp corners on interactive elements; Product screenshots as hero art — the tool IS the marketing; Frosted glass button variants using `rgba(255, 255, 255, 0.1)` on dark surfaces; Extensive OpenType feature usage acro...",design-md/framer/DESIGN.md
18,HashiCorp,Infrastructure & Cloud,HashiCorp's website is enterprise infrastructure made tangible — a design system that must communicate the complexity of cloud infrastructure management while remaining approachable. The visual language splits between two modes: a clean white light-mode for informational sections and a dramatic d...,"hashicorp, infrastructure & cloud, dark, light, clean, ai, enterprise, purple, blue, yellow, white",#000000,#0d0e12,#b2b6bd,#15181e,#d5d7db,__hashicorpSans_96f0ca,system-ui,"sans, functional, tight","Background: `#15181e`; Text: `#d5d7db`; Padding: 9px 9px 9px 15px (asymmetric, more left padding); Radius: 5px; Border: `1px solid rgba(178, 182, 189, 0.4)`","Light mode: white background, micro-shadow elevation; Radius: 8px for cards and containers; Product showcase cards with gradient borders or accent lighting","| Whisper (Level 1) | `rgba(97, 104, 117, 0.05) 0px 1px 1px, rgba(97, 104, 117, 0.05) 0px 2px 2px` | Cards, buttons, interactive surfaces |",,8px,"Use HashiCorp Sans for headings and brand text, system-ui for body and UI text; Enable `""kern""` on all HashiCorp Sans text; Use product brand colors ONLY for their respective products (Terraform = purple, Vault = yellow, etc.); Apply uppercase labels at 13px weight 600 with 1.3px letter-spacing for section markers; Keep shadows at the ""whisper"" level (0.05 opacity dual-layer); Use the `--mds-color-*` token system for consistent color application; Maintain the tight-heading / relaxed-body rhythm ","Don't use product brand colors outside their product context (no Terraform purple on Vault content); Don't increase shadow opacity above 0.1 — the whisper level is intentional; Don't use pill-shaped buttons (>8px radius) — the sharp, minimal radius is structural; Don't skip the `""kern""` feature on headings — the font requires it; Don't use HashiCorp Sans for small body text — it's designed for 17px+ heading use; Don't mix product colors in the same component — each product has one color; Don't u","Dual-mode: clean white sections + dramatic dark (`#15181e`) hero/product areas; Custom HashiCorp Sans font with 600–700 weights and `""kern""` feature; Multi-product color system via `--mds-color-*` CSS custom properties; Product brand colors: Terraform purple, Vault yellow, Waypoint teal, Vagrant blue; Uppercase letter-spaced captions (13px, weight 600, 1.3px letter-spacing); Micro-shadows: dual-layer at 0.05 opacity — depth through whisper, not shout; Token-driven `mds` component system with ...",design-md/hashicorp/DESIGN.md
19,IBM,Enterprise & Consumer,IBM's website is the digital embodiment of enterprise authority built on the Carbon Design System — a design language so methodically structured it reads like an engineering specification rendered as a webpage. The page operates on a stark duality: a bright white (`#ffffff`) canvas with near-blac...,"ibm, enterprise & consumer, light, technical, corporate, ai, enterprise, flat, grid, blue, red, white",#0f62fe,#262626,#da1e28,#ffffff,#161616,IBM Plex Sans,IBM Plex Sans,"light, compact, tight, functional, editorial",Background: `#0f62fe` (Blue 60) → `--cds-button-primary`; Text: `#ffffff` (White); Padding: 14px 63px 14px 15px (asymmetric — room for trailing icon); Border: 1px solid transparent; Border-radius: 0px (sharp rectangle — the Carbon signature),"Background: `#ffffff` on white theme, `#f4f4f4` (Gray 10) for elevated cards; Border: none (flat design — no border or shadow on most cards); Border-radius: 0px (matching the rectangular button aesthetic); Hover: background shifts to `#e8e8e8` (Gr...","| Raised | `0 2px 6px rgba(0,0,0,0.3)` | Dropdowns, tooltips, overflow menus |",,8px,"Use IBM Plex Sans at weight 300 for display sizes (42px+) — the lightness is intentional; Apply 0.16px letter-spacing on 14px body text and 0.32px on 12px captions; Use 0px border-radius on buttons, inputs, cards, and tiles — rectangles are the system; Reference `--cds-*` token names when implementing (e.g., `--cds-button-primary`, `--cds-text-primary`); Use background-color layering (white → gray 10 → gray 20) for depth instead of shadows; Use bottom-border (not box) for input field indicators;","Don't round button corners — 0px radius is the Carbon identity; Don't use shadows on cards or tiles — flatness is the point; Don't introduce additional accent colors — IBM's system is monochromatic + blue; Don't use weight 700 (Bold) — the scale stops at 600 (Semibold); Don't add letter-spacing to display-size text — tracking is only for 14px and below; Don't box inputs with full borders — Carbon inputs use bottom-border only; Don't use gradient backgrounds — IBM's surfaces are flat, solid color","IBM Plex Sans at weight 300 (Light) for display — corporate gravitas through typographic restraint; IBM Plex Mono for code and technical content with consistent 0.16px letter-spacing at small sizes; Single accent color: IBM Blue 60 (`#0f62fe`) — every interactive element, every CTA, every link; Carbon token system (`--cds-*`) driving all semantic colors, enabling theme-switching at the variable level; 8px spacing grid with strict adherence — no arbitrary values, everything aligns; Flat, borde...",design-md/ibm/DESIGN.md
20,Intercom,Design & Productivity,"Intercom's website is a warm, confident customer service platform that communicates ""AI-first helpdesk"" through a clean, editorial design language. The page operates on a warm off-white canvas (`#faf9f6`) with off-black (`#111111`) text, creating an intimate, magazine-like reading experience. The...","intercom, design & productivity, editorial, warm, clean, sharp, ai, blue, green, red, orange, pink, black, white",#111111,#0007cb,#ff5600,#ffffff,#7b7b78,Saans,MediumLL,,"Background: `#111111`; Text: `#ffffff`; Padding: 0px 14px; Radius: 4px; Hover: white background, dark text, scale(1.1)",Background: `#faf9f6` (warm cream); Border: `1px solid #dedbd6` (warm oat); Radius: 8px; No visible shadows,,"### Border Radius: 4px (buttons), 6px (nav items), 8px (cards, containers)",,"Use Saans with 1.00 line-height and negative tracking on all headings; Apply 4px radius on buttons — sharp geometry is the identity; Use Fin Orange (#ff5600) for AI/brand accent only; Apply scale(1.1) hover on buttons; Use warm neutrals (#faf9f6, #dedbd6)",Don't round buttons beyond 4px; Don't use Fin Orange decoratively; Don't use cool gray borders — always warm oat tones; Don't skip the negative tracking on headings,"Warm off-white canvas (`#faf9f6`) with oat-toned borders (`#dedbd6`); Saans font with extreme negative tracking (-2.4px at 80px) and 1.00 line-height; Fin Orange (`#ff5600`) as singular brand accent; Sharp 4px border-radius — near-rectangular buttons and elements; Scale(1.1) hover with scale(0.85) active — physical button interaction; SaansMono uppercase labels with wide tracking (0.6px–1.2px); Rich multi-color report palette (blue, green, red, pink, lime, orange); oklab color values for soph...",design-md/intercom/DESIGN.md
21,Kraken,Fintech & Crypto,"Kraken's website is a clean, trustworthy crypto exchange that uses purple as its commanding brand color. The design operates on white backgrounds with Kraken Purple (`#7132f5`, `#5741d8`, `#5b1ecf`) creating a distinctive, professional crypto identity. The proprietary Kraken-Brand font handles di...","kraken, fintech & crypto, dark, cool, clean, professional, crypto, pill, rounded, neutral, purple, blue, green, black, white",#7132f5,#5741d8,#149e61,#ffffff,#101114,Kraken-Brand,Kraken-Product,,Background: `#7132f5`; Text: `#ffffff`; Padding: 13px 16px; Radius: 12px; Background: `#ffffff`,,"Subtle: `rgba(0,0,0,0.03) 0px 4px 24px`","### Border Radius: 3px, 6px, 8px, 10px, 12px, 16px, 9999px, 50%",,"Use Kraken Purple (#7132f5) for CTAs and links; Apply 12px radius on all buttons; Use Kraken-Brand for headings, Kraken-Product for body",Don't use pill buttons — 12px is the max radius for buttons; Don't use other purples outside the defined scale,"Kraken Purple (`#7132f5`) as primary brand with darker variants (`#5741d8`, `#5b1ecf`); Kraken-Brand (display) + Kraken-Product (UI) dual font system; Near-black (`#101114`) text with cool blue-gray neutral scale; 12px radius buttons (rounded but not pill); Subtle shadows (`rgba(0,0,0,0.03) 0px 4px 24px`) — whisper-level; Green accent (`#149e61`) for positive/success states",design-md/kraken/DESIGN.md
22,Lamborghini,Automotive,"Lamborghini's website is a cathedral of darkness — a digital stage where jet-black surfaces stretch infinitely and every element emerges from the void like a machine under a spotlight. The page is almost entirely black. Not dark gray, not near-black — true, uncompromising black (`#000000`) that s...","lamborghini, automotive, dark, light, cinematic, sharp, red, black, white",#FFC000,#917300,#FFCE3E,#000000,#FFFFFF,LamboType,LamboType,"tight, bold, technical","All buttons use **zero border-radius** — sharp, angular rectangles that echo the aggressive lines of Lamborghini vehicles.; Default: bg `#FFC000` (Lamborghini Gold), text `#000000`, padding 24px, fontSize 16px, fontWeight 400, borderRadius 0px, no...","Background: `#202020` (Charcoal) on black canvas, or `#000000` on lighter sections; Border: `0px 1px solid #202020` bottom borders for section dividers; Border-radius: 0px (completely sharp corners); Shadow: minimal, uses overlay opacity for depth","| Level 2 (Overlay) | `rgba(0,0,0,0.7)` | Modal backdrops, video dimming |",,,"Use absolute black (`#000000`) as the primary background — never dark gray as a substitute; Apply Lamborghini Gold (`#FFC000`) exclusively for primary CTA buttons — never for decorative purposes; Set all display headings in uppercase with LamboType — the brand voice is always SHOUTING; Use zero border-radius on buttons and cards — sharp angles are non-negotiable; Maintain tight line-heights (0.92–1.19) on display type to create dense, architectural text blocks; Use the transparent ghost button (","Introduce additional accent colors beyond gold — the monochrome-plus-gold system is sacred; Apply border-radius to buttons or cards — curved edges contradict the angular vehicle aesthetic; Use LamboType in italic or decorative styles — the brand is always upright and direct; Add gradients to buttons or surfaces — depth comes from surface layering, not blending; Use light backgrounds as the primary canvas — darkness is the default state, light is the exception; Mix lowercase into display headings","True black (`#000000`) dominant surfaces with white and gold as the only relief colors; LamboType custom Neo-Grotesk font with 12° angled terminals inspired by aerodynamic car lines; Lamborghini Gold (`#FFC000`) as the sole accent color — used exclusively for primary CTA buttons; All-uppercase display typography at extreme scales (120px, 80px, 54px) with tight line-heights; Full-viewport video heroes with cinematic event/vehicle content; Zero border-radius on buttons — sharp, angular, uncompr...",design-md/lamborghini/DESIGN.md
23,Linear,Developer Tools,"Linear's website is a masterclass in dark-mode-first product design — a near-black canvas (`#08090a`) where content emerges from darkness like starlight. The overall impression is one of extreme precision engineering: every element exists in a carefully calibrated hierarchy of luminance, from bar...","linear app, developer tools, dark, light, clean, geometric, black",#5e6ad2,#28282c,#7170ff,#0f1011,#f7f8f8,Inter Variable,Inter Variable,geometric,"Background: `rgba(255,255,255,0.02)`; Text: `#e2e4e7` (near-white); Padding: comfortable; Radius: 6px; Border: `1px solid rgb(36, 40, 44)`","Background: `rgba(255,255,255,0.02)` to `rgba(255,255,255,0.05)` (never solid — always translucent); Border: `1px solid rgba(255,255,255,0.08)` (standard) or `1px solid rgba(255,255,255,0.05)` (subtle); Radius: 8px (standard), 12px (featured), 22p...","| Subtle (Level 1) | `rgba(0,0,0,0.03) 0px 1.2px 0px` | Toolbar buttons, micro-elevation |",,8px,"Use Inter Variable with `""cv01"", ""ss03""` on ALL text — these features are fundamental to Linear's typeface identity; Use weight 510 as your default emphasis weight — it's Linear's signature between-weight; Apply aggressive negative letter-spacing at display sizes (-1.584px at 72px, -1.056px at 48px); Build on near-black backgrounds: `#08090a` for marketing, `#0f1011` for panels, `#191a1b` for elevated surfaces; Use semi-transparent white borders (`rgba(255,255,255,0.05)` to `rgba(255,255,255,0.0",Don't use pure white (`#ffffff`) as primary text — `#f7f8f8` prevents eye strain; Don't use solid colored backgrounds for buttons — transparency is the system (rgba white at 0.02–0.05); Don't apply the brand indigo decoratively — it's reserved for interactive/CTA elements only; Don't use positive letter-spacing on display text — Inter at large sizes always runs negative; Don't use visible/opaque borders on dark backgrounds — borders should be whisper-thin semi-transparent white; Don't skip the O,"Dark-mode-native: `#08090a` marketing background, `#0f1011` panel background, `#191a1b` elevated surfaces; Inter Variable with `""cv01"", ""ss03""` globally — geometric alternates for a cleaner aesthetic; Signature weight 510 (between regular and medium) for most UI text; Aggressive negative letter-spacing at display sizes (-1.584px at 72px, -1.056px at 48px); Brand indigo-violet: `#5e6ad2` (bg) / `#7170ff` (accent) / `#828fff` (hover) — the only chromatic color in the system; Semi-transparent wh...",design-md/linear.app/DESIGN.md
24,Lovable,Developer Tools,"Lovable's website radiates warmth through restraint. The entire page sits on a creamy, parchment-toned background (`#f7f4ed`) that immediately separates it from the cold-white conventions of most developer tool sites. This isn't minimalism for minimalism's sake — it's a deliberate choice to feel ...","lovable, developer tools, minimal, minimalism, editorial, warm, cold, developer, ai, neutral, white",#f7f4ed,#5f5f5d,#eceae4,#1c1c1c,#fcfbf8,Camera Plain Variable,Camera Plain Variable,"warm, humanist, sharp, geometric, sans, editorial",Background: `#1c1c1c`; Text: `#fcfbf8`; Padding: 8px 16px; Radius: 6px; Background: transparent,"Background: `#f7f4ed` (matches page); Border: `1px solid #eceae4`; Radius: 12px (standard), 16px (featured), 8px (compact); No box-shadow by default — borders define boundaries; Image cards: `1px solid #eceae4` with 12px radius","| Inset (Level 2) | `rgba(255,255,255,0.2) 0px 0.5px 0px inset, rgba(0,0,0,0.2) 0px 0px 0px 0.5px inset, rgba(0,0,0,0.05) 0px 1px 2px` | Dark buttons, primary actions |",**Section separation**: Footer uses `1px solid #eceae4` border and 16px radius container. Sections defined by generous spacing rather than border line,8px,"Use the warm cream background (`#f7f4ed`) as the page foundation — it's the brand's signature warmth; Use Camera Plain Variable at display sizes with negative letter-spacing (-0.9px to -1.5px); Derive all grays from `#1c1c1c` at varying opacity levels for tonal unity; Use the inset shadow technique on dark buttons for tactile depth; Use `#eceae4` borders instead of shadows for card containment; Keep the weight system narrow: 400 for body/UI, 600 for headings; Use full-pill radius (9999px) only f",Don't use pure white (`#ffffff`) as a page background — the cream is intentional; Don't use heavy box-shadows for cards — borders are the containment mechanism; Don't introduce saturated accent colors — the palette is intentionally warm-neutral; Don't use weight 700 (bold) — 600 is the maximum weight in the system; Don't apply 9999px radius on rectangular buttons — pills are for icon/action toggles; Don't use sharp focus outlines — the system uses soft shadow-based focus indicators; Don't mix bo,"Warm parchment background (`#f7f4ed`) — not white, not beige, a deliberate cream that feels hand-selected; Camera Plain Variable typeface with humanist warmth and editorial letter-spacing at display sizes; Opacity-driven color system: all grays derived from `#1c1c1c` at varying transparency levels; Inset shadow technique on buttons: `rgba(255,255,255,0.2) 0px 0.5px 0px 0px inset, rgba(0,0,0,0.2) 0px 0px 0px 0.5px inset`; Warm neutral border palette: `#eceae4` for subtle, `rgba(28,28,28,0.4)` ...",design-md/lovable/DESIGN.md
